team,player_id,player_name,role,fantacalcio_pid,fm_id,fm_status,face_file
FRO,ccd6f15d-ce35-4a40-8f8c-3ca7e3731478,KONE B.,C,5725,,,
FRO,38d34cee-3ba9-48aa-882c-0029010a69e3,KOUTSOUPIAS *,C,7474,,,
FRO,02ef0dba-4506-42b3-b84b-47b8b9fbfddc,LOLIC,P,7466,,,
FRO,ce6285f0-ebf5-4a40-93e5-06addde41501,MASINI,C,6917,,,
FRO,336ddb62-fbb6-49ec-9095-e43e47ab3d90,OMAR FAYED,D,7553,,,
FRO,b61e3ff8-75df-457a-967c-9eab2d832a51,PISSERI,P,7560,,,
FRO,ae2ec10f-f78f-464f-bb73-4a57c232b5d0,TOCI,C,,,,
GEN,b000a802-fe58-469f-8b59-d40c0e49d23e,DRAMEH,D,5742,,,
GEN,e3150910-c994-42e3-81b6-08da868df319,HAVEL,A,7453,,,
GEN,111c81a4-1c07-4062-a115-d3029149bcb6,KUMER CELIK,D,,,,
GEN,f6411668-a881-4395-a488-fab1da0db992,LAFONT,C,,,,
GEN,1ebe57dd-99a3-4635-9737-6dbd05e969c6,LYSIONOK,P,,,,
GEN,75c540f8-f2dc-4d49-9cf0-3adc858a979d,MARTIN *,D,2593,,,
GEN,61a7a926-f60c-4235-a091-db7ee54bb1de,MEICHTRY,C,7409,,,
GEN,fda2c9cf-1991-4b48-9b25-9d7dc1252062,MESSIAS,C,4970,,,
GEN,68999c2b-f85c-4bec-8f9c-88fb3ffc37a1,NORTON-CUFFY *,D,6814,,,
GEN,343b3ebb-3d7d-43b5-ba7d-11ccbecd1681,NUREDINI,A,,,,
GEN,ef938372-9073-42b8-96df-42a846764e3e,OTOA,D,6977,,,
GEN,a8e3fa4b-6b4f-4f18-b9e7-b63de52e6aa0,ROBINHO JUNIOR,A,7622,,,
GEN,f9cc311d-6643-4e40-b4b4-f5bb218b1c51,SABELLI,D,791,,,
GEN,fece1cae-b08c-4594-9e09-b0a7c80d04a3,SOMMARIVA,P,219,,,
GEN,4ce9d52f-7966-4c36-a973-64d6742ad8d3,STOLZ,P,6569,,,
GEN,89ba87c2-c524-4494-8278-14264587e2de,TRAORÈ,C,,,,
GEN,2c693670-37e4-4053-8994-3b3a3a96cc42,TRAORÈ HJ.,C,2857,,,
GEN,defc9130-ebd7-445b-af3d-125bb13f5e48,VAZ,D,,,,
GEN,3b7ca6fd-f58b-4395-abac-39c172bbacfa,VENTURINO,C,6980,,,
GEN,1ecda554-2c6f-4728-bed8-361f16c463c7,WIAFE,C,,,,
GEN,a5009727-1cf1-4831-8050-1b99c2393482,ZULEVIC,A,,,,
INT,a28c0de8-63bf-479b-a028-aa86dc173c16,ASLLANI,C,,,,
INT,ab8189ac-e4a2-4f9d-a811-28a25f3a2fe7,BOVIO,D,,,,
INT,00ce44d3-1f1e-4bfa-afcf-d4849c6c3c19,CARBONI,C,,,,
INT,2c63ecfe-be0c-48c7-bcc4-17ddac7a78c0,KAMATE,C,,,,
INT,208f99bc-2b49-4d64-b589-a03deb9cc0f7,LAVELLI,A,,,,
INT,53fee0ed-79d4-4e05-9b87-9db766d67f76,LUIS HENRIQUE,C,5301,,,
INT,3ad37a0c-636a-4d10-90e4-2c853d319b6d,MOSCONI,A,,,,
INT,772489bc-6321-4e93-a3b6-f25305a975c4,SPINACCÈ,A,,,,
INT,d4a74a5e-5854-464a-96ff-ad231c1d87e6,STANKOVIC,C,6503,,,
JUV,9bd4868a-98e3-4010-bb2e-690aec97c630,CABAL,D,6039,,,
JUV,59e7b36b-3e9d-4537-9822-5c0d3bf059a6,DAVID *,A,5544,,,
JUV,a3536af2-14b4-441a-905a-cb5caac9dd81,EKHATOR,A,6822,,,
JUV,73d30a64-03bf-4619-b187-6dd60c19f745,MILIK,A,2012,,,
JUV,40888b2e-f4b6-4c1c-99dd-0a5f9831c693,RADU,P,,,,
JUV,d83207cc-356a-4fcc-954c-701d18917733,RUGANI,D,294,,,
JUV,8de45a32-895e-47aa-a9a2-6298d38a996c,ZHEGROVA,C,5761,,,
LAZ,a608632c-e3ab-42fd-b643-4967ccb65404,CATALDI,C,333,,,
LAZ,b8c6ab4b-de86-4ffc-b4e0-3ed583054113,DELE-BASHIRU,C,6629,,,
LAZ,18f0dd33-3b07-4fb1-9753-fe370b56622b,DIA *,A,5672,,,
LAZ,d340e10a-5103-45ce-b169-0469c81c9d38,FARCOMENI,C,,,,
LAZ,affffa90-f0d7-4f5b-b029-ff12c18254c2,FURLANETTO,P,,,,
LAZ,1b1620fc-7cf1-4c5b-8d45-f3c5b15ceaac,GALASSI,D,,,,
LAZ,7ed83d0b-6299-4111-805b-51e342668a8c,GIGOT,D,,,,
LAZ,bfee9a7f-6ef1-4b42-b830-70dfaf0b4098,LAZZARI,D,2263,,,
LAZ,f1c08353-a86a-4eff-8453-3d61b28d36b7,PATRIC,D,327,,,
LAZ,ebdc8cf9-01b4-4ffe-8c61-2725731e7292,PELLEGRINI,D,2728,,,
LAZ,9bf042de-3bfd-4230-bb42-a71f3e11e83a,PRZYBOREK,C,7345,,,
LAZ,553824ec-9dc0-4a22-9b73-3b6157227972,RATKOV *,A,7313,,,
LAZ,ade80089-48e9-4400-9378-9583dbf1e1c9,ROMAGNOLI *,D,460,,,
LEC,0df2a0fa-e1df-4997-b84e-7c5999a2f568,BLEVE,P,4468,,,
LEC,4176c6e1-219b-455a-9ca7-f08c5615686c,DEMBELÈ A.,D,6826,,,
LEC,9a5265c2-e6ca-4638-addc-75a81f3a22b9,FOFANA,C,,,,
LEC,83e0d9a8-e17e-42ed-9265-239aa1098809,FOFANA SA.,C,7319,,,
LEC,35b141b9-36be-4e3c-98dd-8035d61e1613,GABRIEL,D,,,,
LEC,ae2f151c-fd51-49d9-84d3-271c100a1691,GORTER,C,7248,,,
LEC,400f2ce4-fb35-4ef1-8f9b-001397961d45,JEAN,D,6883,,,
LEC,ec419b56-299e-4da1-ae7f-83bc2e58000a,JOVIC,A,,,,
LEC,1814e4ff-595a-4bdf-a297-d254710631d9,KABA,C,6410,,,
LEC,7a414755-6c0c-442a-8bce-1b4ed0198b1a,KOUASSI,D,,,,
LEC,a37c9217-9091-4b01-a4ae-391d84853670,KOVAC,C,,,,
LEC,48c6661c-1d7d-48e7-b338-b53ed0ca33e6,LAERKE,A,7571,,,
LEC,92800d99-d629-483a-b0bb-791502af2155,MALEH,C,5457,,,
LEC,b9811caf-7657-4335-a3ae-8eb2fc363695,NDABA,D,7182,,,
LEC,8a4391c7-8266-488f-ba16-3bed7b98d03c,PENEV,P,7557,,,
LEC,3e7ecd0b-75ce-48d2-a6cf-4cf28433cd47,SIEBERT,D,7240,,,
LEC,e870f53a-7efc-4e15-8fcf-3d61dca9f64d,UBANI,D,,,,
MIL,329c03f0-1c2f-4750-94c3-2cb082218d94,BALENTIEN,A,,,,
MIL,bc2029a6-c72f-4168-9c71-e187c0320e26,BONDO,C,,,,
MIL,06612837-390c-4a8d-b42b-a54dc0977c7e,COMOTTO,C,7572,,,
MIL,44014570-4bec-43e2-9111-e915e4748581,DIAWARA,D,7525,,,
MIL,8264d6b4-76dd-4625-a930-616e8f7d0db7,F. TERRACCIANO,D,5812,,,
MIL,7ae928e3-9e41-426f-a9cb-3276ad2f519a,FOFANA,C,,,,
MIL,bfb7d17c-be32-4667-9782-9bc6bc5f9a69,GIMENEZ *,A,7008,,,
MIL,f03b95d3-589c-45a8-bf31-1e4f075410ac,JASHARI,C,7203,,,
MIL,fc92b4a7-f622-4e18-9877-250fb8eec2db,LEAO *,A,4510,,,
MIL,b0485692-e5b7-4cbd-a282-b6e7d2846b14,PITTARELLA,P,,,,
MIL,0dfd906f-24e3-4e24-8c1c-476fdba58aca,RICCI,C,,,,
MIL,64a35a20-a553-4939-867e-d3e9b1a41094,TOMORI,D,4751,,,
MIL,23487a81-c772-477d-835c-30c49140ceb8,ZEROLI,C,,,,
MON,1160f5e1-2cc9-487c-9207-331c2dae857f,ANTOV,D,5399,,,
MON,4180d828-79b5-46c3-8a21-c49a8b5bff34,BAKOUNE,D,7476,,,
MON,e55c42fa-fd9b-4915-bf6c-772c95c25521,BALDÉ,A,,,,
MON,d3d2e4ee-6aeb-4e29-81bd-30c827dab25a,BALLABIO,C,,,,
MON,13e28b24-5a39-4197-8266-b5b05edff2b9,CIURRIA,C,5880,,,
MON,b68d766c-29fa-4afc-9cf0-885233e6eb55,COLOMBO,C,7477,,,
MON,40bd7d46-ab24-48fa-b994-de0441b0bb3e,DELLI CARRI *,D,2115,,,
MON,a5810e00-319e-4436-9c9f-0cf37ee4b931,FOE-ONDOA,C,7574,,,
MON,924d1415-eed4-4d0e-a618-96bdbf94ba4b,FORSON,A,6592,,,
MON,e513713b-ab72-495a-a5b0-3a5221389fb9,GALAZZI,C,,,,
MON,d5865266-29b8-46ee-acfd-3c077d52e93f,GOGLICHIDZE,D,6537,,,
MON,f4fd4240-eab9-4ad6-8397-84dd7866f623,LOUBAO,A,,,,
MON,153407fa-5936-447b-839f-68cca254f38f,MARTINS,A,,,,
MON,a74e4fc4-f237-4916-9eee-49e3563106e2,MAYE,D,7604,,,
MON,4bad187e-b208-4883-8637-dcc92cb17c2d,PESSINA,C,2741,,,
MON,d4edbe74-37c7-4caa-a7c3-70feeaf93739,PIZZIGNACCO *,P,6682,,,
MON,e690ed5f-68a0-490f-9f61-6765f5affbb1,STRAJNAR,P,7475,,,
NAP,2d509826-46aa-46d6-9f8f-4b4a18b0a3c3,CAJUSTE,C,,,,
NAP,ca6b8b16-c867-4476-8caa-1b6583576f57,CHEDDIRA,A,,,,
NAP,9fdb8adf-4c3d-4607-b9d1-9162e3bdc8ce,FAVASULI,D,7563,,,
NAP,be0f26ed-2322-4c96-a009-02d1ac0ae0bb,GAROFALO,D,,,,
NAP,ca313e66-1fbf-4a47-b277-ed6a7eff4e45,GIOVANE,A,7162,,,
NAP,b8438b12-5253-44a2-a1c6-63ff2e2da941,LINDSTROM,C,,,,
NAP,597b4372-c990-4ee1-9c76-9d9b49712f6e,MARIANUCCI,D,6809,,,
NAP,dedd6022-35af-4e5b-ae5f-37e7fcdd3732,MARIN,D,6638,,,
NAP,1d111336-89ea-48ff-adea-49efdbf68c62,VIGLIOTTI,A,,,,
PAR,08cc19e0-167e-466f-9a86-5408127da3e5,ALMQVIST,A,6207,,,
PAR,4d61e69b-57ad-4624-b73b-e48786d6e4ae,CARBONI,D,6149,,,
PAR,5f8d4369-e099-4b68-8961-5da430ad6fb0,CREMASCHI,C,7276,,,
PAR,0358247e-6e92-4d6a-97fe-553184354156,DE MARTIS,A,7568,,,
PAR,6cd71482-717e-4af4-9147-dc1cb298389a,DIALLO,A,7536,,,
PAR,0f6859e9-033e-466a-95a8-575562f161e0,DROBNIC,D,7615,,,
PAR,758ca6a5-dd81-4292-980c-cb5991949659,FRIGAN,A,7213,,,
PAR,e1c0bce6-c9ce-46dc-8efd-c3c9bbfd9a4d,GHIDOTTI,P,2874,,,
PAR,4e320a67-120a-4699-abc8-50360c222a33,KOUDA,C,,,,
PAR,3d76f36d-f96e-4ce0-9f0f-7b25c08b9da1,MAZZOCCHI,P,,,,
PAR,165babaa-d202-4cba-a97a-ac0411e02f3a,NDIAYE,D,7202,,,
PAR,c4eaeff6-74f8-496d-9859-899ec28c809a,NICOLUSSI CAVIGLIA,C,4349,,,
PAR,0dbd7643-d5a9-4062-b24a-72cb2370ef24,SIERRO,C,7628,,,
PAR,6bb62b2a-8ca3-4ece-8f18-0b4bcdaad07b,SORENSEN,C,,,,
PAR,ee73b476-fc35-4425-b50a-3f4cf2853bbb,VALENTI,D,5307,,,
ROM,59b5704d-7ffb-47b3-8582-ba68b9423b14,ARENA,A,,,,
ROM,1c85ce9e-d24e-48a1-8abd-6d0f4cae657c,DE MARZI,P,7048,,,
ROM,b45b80c8-c7b3-44de-ade5-ba637ae0a941,DE ROON,C,22,,,
ROM,6a662124-c461-4480-8798-bd959714a7dc,EL AYNAOUI *,C,6271,,,
ROM,6d30d6e4-4826-49db-9aa6-d78ded385aa6,GHILARDI,D,6631,,,
ROM,11b0d2b5-5083-424d-8be8-3214712be403,MANNINI,D,,,,
ROM,66a91849-05ce-44ae-a04d-85e2acba5b30,RENSCH,D,6986,,,
ROM,7ec6cfdf-eeea-42a8-aac2-31729253e072,VAZ *,A,6981,,,
SAS,064bd745-d8b4-472f-94a5-d09123d45c5f,ALVAREZ,A,,,,
SAS,6030fa43-4872-4815-b341-f216c06625f2,BOLOCA,C,6219,,,
SAS,73331c34-20e9-4307-a7fc-329acd2766fb,CALIGARA,C,,,,
SAS,64271818-be3f-4389-bef5-4ad3b559f17c,CANDÈ,D,6985,,,
SAS,b0f6198d-f521-4409-989d-41d3485af7f1,CINQUEGRANO,C,7573,,,
SAS,73bc26c1-44f1-42f0-a7d2-e76702d499aa,DI BITONTO,D,,,,
SAS,98f9bb1d-680f-4026-b64d-fa0a700d6138,DOMINGUEZ,A,6895,,,
SAS,d0e33431-cd6c-4a3d-8b45-2bcf24e5a52f,GHION,C,,,,
SAS,9f70221d-fefe-4483-ac64-3171448eec8f,I. SULEMANA,C,,,,
SAS,175fbbf0-a1b7-425e-ae41-a051fdc0de9a,IANNONI *,C,7157,,,
SAS,830c0233-607b-44ac-8277-605138670af0,KONE,C,,,,
SAS,63166ad3-7d4c-433e-9522-b9964e42ca10,KONÈ I.,C,6717,,,
SAS,0f2711f6-9225-4ba4-8e3a-0ab79073c4e8,KULLA,A,,,,
SAS,cb058a85-90f8-4e0f-aa43-f87e776b6122,LIPANI,C,6246,,,
SAS,778f93d3-abeb-408a-8e58-7a0e83dadde0,MACCHIONI *,D,7396,,,
SAS,3e1dfa6c-8a16-4f28-9f7c-d70b7cf01a21,MISSORI *,D,6189,,,
SAS,6455edf5-c04b-496f-9191-617f6768c757,NUAMAH,C,,,,
SAS,ac34d479-a518-4ad2-9cee-494110258625,ODENTHAL,D,7154,,,
SAS,e8b4a182-4dbc-48ef-8727-f6b27e9e73e9,PAZ,D,,,,
SAS,dc552253-f91d-47d6-957d-981e182f4c45,PIERAGNOLO,D,7156,,,
SAS,728c10f8-dcdb-446d-846e-4a700846ab81,PIERINI,A,,,,
SAS,9712f84b-58a0-48f7-9e51-34dbccfe821e,RUSSO A.,P,4518,,,
SAS,3cff0437-6bd5-4055-95a8-a0efb5a4d613,SATALINO,P,2127,,,
SAS,d15749c7-852c-4764-ace8-794faeb62980,SKJELLERUP,A,,,,
SAS,718577d4-2a24-4727-ad37-6543174cb19d,SULEMANA I.,C,6024,,,
SAS,79c9612e-e5d5-417d-a696-84e268dd3b9c,TURATI,P,4867,,,
SAS,3a277590-82ed-4dbe-b056-a604c9db896d,WALUKIEWICZ,D,4374,,,
TOR,8fdf163a-b07a-4301-a46e-30ea558c5d7f,ABOUKHLAL,A,7183,,,
TOR,87702dec-68c9-4b42-98e7-ab976500a170,ANJORIN *,C,6889,,,
TOR,cabdfa5d-651a-44b0-965e-50ccaa831b45,BIANAY,D,,,,
TOR,f4077c1e-6263-42fc-b0e2-4aa09f5e9b3d,BIRAGHI,D,252,,,
TOR,e90a3288-7263-4de5-afad-d760f0fdf6eb,DEMBÉLÉ,D,,,,
TOR,3c1aede2-ec9f-4be7-935a-b6cf1e31361e,GABELLINI,A,,,,
TOR,31127b67-9483-4bff-9139-0e9848323790,GINEITIS,C,6170,,,
TOR,afffa7d6-e51c-49fb-b955-730fbffc963d,ILKHAN,C,6005,,,
TOR,5136e577-adee-4195-b4d7-31382f1b9933,ISRAEL,P,,,,
TOR,9635261f-ffc6-496c-92ab-a34a47892bab,KULENOVIC,A,7349,,,
TOR,dd03e7d6-246e-475b-a7c0-20a16242c410,LUONGO,C,,,,
TOR,81c636ba-4d88-4a3f-890e-5a629af25d29,NJIE,A,,,,
TOR,fb1366ad-cdb1-498d-8a26-e8bb1619e008,ORISTANIO,C,6218,,,
TOR,c726f785-5e48-414c-9ec3-a7b9e8b3b10d,PALEARI *,P,5320,,,
TOR,035a401d-1f2c-45a4-8c30-06176fc8f2dd,PEDERSEN *,D,6426,,,
TOR,0572cef0-e717-44ac-9bf6-c8cd15c0891c,PELLEGRI,A,,,,
TOR,57500245-3a2a-45c5-96cb-8a831d606efa,RODRIGUEZ R.,D,2169,,,
TOR,6003455d-d819-4bf2-a106-4062cd4c09e1,SIVIERO,P,7363,,,
UDI,a02302f8-700d-48a0-8f68-ee6ec2a15a87,ARIZALA,D,7312,,,
UDI,7257ce65-ba33-44a5-9ef6-163122c4b35a,BAYO,A,,,,
UDI,c3c0597c-9bf5-429f-b97b-f592b9435c68,BAYO V.,A,7161,,,
UDI,9423ec84-6c6b-4fd0-93b3-a114b69196bd,BERTOLA,D,5820,,,
UDI,3c252834-e128-4ef8-bfb2-22fe877ba54c,CHAKVETADZE,C,7418,,,
UDI,8f24ef31-a053-4c22-979d-65f150df02aa,EBOSSE,D,5994,,,
UDI,f6b9dc89-87e9-49cc-a9ba-0b3516c66def,GOMEZ,C,,,,
UDI,2097d8f0-bfe4-4c2c-b18c-b1f24a315d78,GUEYE,A,7272,,,
UDI,0eb7b2da-9e61-48f5-8435-b08ed0ce557f,JOVANOVIC,C,7092,,,
UDI,6a378b33-31a0-4cd8-ab5d-9975ad383fb4,LOVRIC,C,5850,,,
UDI,335fba4a-1ac0-45c6-adfd-ee38e2ec5cf8,MLACIC *,D,7356,,,
UDI,d60a408a-3707-4930-b14d-bb99136aa117,MODESTO,A,,,,
UDI,399dbbec-0129-4ea7-801e-b905fa7d25c7,MROZEK,P,7611,,,
UDI,b80be3ac-54da-4731-84cd-58595b92e86f,PADELLI,P,543,,,
UDI,803a28d4-c893-4467-a8ca-5e0813c56d5c,PEJICIC,C,,,,
UDI,fc100fee-e54d-48f5-9991-f63e6f48393d,PIANA,P,5707,,,
UDI,e1d4e4fc-458b-4d7a-92c7-bf07cf9432e5,UNAI GOMEZ,C,6783,,,
UDI,495520bc-2e3b-40ab-a819-1484b3b91783,VINCIATI,A,,,,
UDI,3afa811e-b1b3-415e-bf2a-60ff219af55c,ZANOLI,D,5527,,,
UDI,3010b7ae-3841-43f7-b35e-341ae01353cd,ZARRAGA,C,6212,,,
VEN,0d43f54c-1545-4cbf-836f-06625db972f5,BERARDI,C,,,,
VEN,677ba2f2-54f6-498c-87d9-7287828566e4,BOHINEN,C,,,,
VEN,01683439-4afd-4ca6-a301-c87f720958a4,DAGASSO,C,7481,,,
VEN,b0965776-425d-45dc-9e99-400d9285a5ca,DUNCAN,C,526,,,
VEN,b46883b5-fc17-4d82-94be-f64a6285b26c,EL HADDAD,C,,,,
VEN,e6b5034f-a0c8-4e6b-b97a-42b491d82e13,FANNE,C,,,,
VEN,a216f5f0-d0d9-4446-bd2d-4ce5d07a8cba,FARJI,C,,,,
VEN,73b7e640-eece-4f3a-9103-9dcdbcde2eff,FERNANDEZ T.,C,7232,,,
VEN,2d78381e-103d-4436-8c97-368629d04c05,FRANJIC,D,7478,,,
VEN,7c67c622-91c4-4ca7-a319-38b98b73c29b,GOMES,D,7454,,,
VEN,c27b4d32-5959-4a8a-b0b6-f426a4074d00,GRANDI,P,6671,,,
VEN,a909ffd8-b421-478b-afe1-a062f42694a7,HELGASON,C,5872,,,
VEN,9deb1f62-5c81-42ef-90e0-a8bbebe2431c,LAUBERBACH,A,7482,,,
VEN,002a28b8-78a4-451f-a60a-54e939765323,LIGUE,D,,,,
VEN,6a27d2d7-bf1e-4de7-8da5-27195e80a1ef,LISMAN,A,7408,,,
VEN,92eb0977-6f93-48a0-a7de-58f4599d1af1,MONTIPÒ,P,4957,,,
VEN,b54ffc32-1316-4165-80a3-bce86489ef27,MORENO,D,6890,,,
VEN,4e67c0ed-cc03-406f-8a80-78a2da73c44a,OKORO,A,,,,
VEN,ab00ffd8-3260-4cf7-b24b-ed66695cd40f,PANADA,C,,,,
VEN,de597ee9-de6b-427e-9bf9-92e89083742f,POZZI,P,7531,,,
VEN,5907ed5a-213b-4deb-9474-baefafd13be3,SAGRADO,D,6681,,,
VEN,5392d2ff-735e-4bdb-9ff1-025d0bf179f4,SVERKO,D,6673,,,
VEN,c433ec71-d273-4041-aef6-e3681ac23f60,TOURÉ,A,,,,
